file,write_type,statement,writes,uses_app_config,recommendation
"doc_processor/database.py","database backups and file removals","shutil.copy2(src, dest); os.makedirs(backup_root, exist_ok=True); os.remove(image_path)","shutil.copy2(...); os.makedirs(...); os.remove(...)",true,"Use configuration-controlled backup directories (config_manager.app_config) and avoid implicit writes to repo tree."
"doc_processor/routes/intake.py","intake temp copies and removals","shutil.copy2(pdf_path, temp_pdf_path); os.remove(old_pdf)","shutil.copy2(...); os.remove(...); os.makedirs(...)",true,"Use tempfile or app_config-managed temp dirs for temporary copies."
"doc_processor/routes/manipulation.py","serve/preview cached PDFs","return send_file(pdf_abs, mimetype='application/pdf', as_attachment=False); return send_file(cache_path)","send_file(path, ...) (serves files from processed/cache locations)",true,"Confirm processed/cache locations come from app_config and are not arbitrary paths."
"doc_processor/batch_guard.py","backup/copy operations","shutil.copy2(path, dest_dir); os.makedirs(dest_dir, exist_ok=True)","shutil.copy2(...); os.makedirs(...); shutil.rmtree(...)",true,"Use app_config paths for retention and backup directories and allow overrides for CI/tests."
"doc_processor/app.py","application log directory","os.makedirs(log_dir, exist_ok=True); open(log_file, 'a')","os.makedirs(...); open(..., 'a')",true,"Log directory should be controlled by app_config.LOG_FILE_PATH/LOG_DIR and default to a safe system location if unset."
"tools/file_utils/file_copy_regex.py","file copy to destination paths","shutil.copy2(source_file_path, destination_file_path) with os.makedirs(os.path.dirname(destination), exist_ok=True)","shutil.copy2(source, dest); os.makedirs(destination_parent)",false,"Make destination base configurable and document that the tool will write to disk; consider using a tempdir for unsafe defaults."
"dev_tools/retention_and_rotate.py","archive (tar.gz) and deletions","with tarfile.open(dest, 'w:gz') as tar: tar.add(...); shutil.rmtree(src)","tarfile.open(dest, 'w:gz'); shutil.rmtree(...)",false,"Allow archive destination to be set via env var and avoid hard-coded paths."
"dev_tools/cleanup_test_artifacts.py","archive and copy artifacts","with tarfile.open(target_tar, 'w:gz') as tar: ...; shutil.copy2(src, dst)","tarfile.open(...); shutil.copy2(...); shutil.copytree(...)",false,"Prefer configurable artifact output dir (use .env.test for CI)."
"doc_processor/tests/e2e/conftest.py","e2e artifacts and logs","os.makedirs(artifacts_dir, exist_ok=True); shutil.copy2(app_log, os.path.join(artifacts_dir, ...))","os.makedirs(...); shutil.copy2(...)",false,"E2E tests should use `doc_processor/.env.test` and write artifacts to /tmp or CI-configured artifacts dir."
"doc_processor/tests/test_db_backup.py","test helper file writes","db_file.write_bytes(b'')  # create empty file","Path.write_bytes(...); os.makedirs(...)",false,"Tests should use tmp_path fixtures or .env.test to avoid writing into repo tree."
"doc_processor/tests/test_gui_inprocess.py","sample data writes","dest.write_bytes(sample_path.read_bytes())","Path.write_bytes(...); os.makedirs(...)",false,"Use pytest tmp_path for test artifacts or .env.test override."
"doc_processor/dev_tools/cleanup_filing_cabinet_names.py","backup and rename operations","shutil.copytree(self.filing_cabinet_path, self.backup_dir); shutil.copy2(src, dst); os.remove(item_path)","shutil.copytree(...); shutil.copy2(...); os.remove(...)",true,"Backups should go to a configurable backup base (DEV_TOOL_BACKUP_DIR) or tempfile to avoid repo modifications."
"doc_processor/dev_tools/database_setup.py","database bootstrap (create directories)","os.makedirs(db_dir, exist_ok=True); create database files","os.makedirs(...); open(...)",false,"Allow DB output location to be configured via .env or app_config for safe test runs."
"doc_processor/dev_tools/manual_tests/complete_workflow_demo.py","cleanup/teardown artifacts","if base.exists(): shutil.rmtree(base); shutil.rmtree(base, ignore_errors=True)","shutil.rmtree(...); os.remove(...)",false,"Manual demo scripts should document where they write and offer configurable artifact locations."
"Document_Scanner_Ollama_outdated/document_processor_gca.py","legacy processing outputs","shutil.copy2(source_pdf_path, original_copy_path); with open(markdown_path, 'w', encoding='utf-8')","shutil.copy2(...); open(markdown_path,'w')",false,"Legacy script — treat as archival or migrate to `doc_processor/config_manager`."
"Document_Scanner_Ollama_outdated/document_processor_gem.py","legacy processing outputs","shutil.copy2(source_pdf_path, original_copy_path); open(markdown_path, 'w')","shutil.copy2(...); open(markdown_path,'w')",false,"Legacy script; do not auto-modify without a migration plan."
"archive/legacy/Document_Scanner_Gemini_outdated/document_processor.py","legacy processing outputs","open(markdown_path, 'w', encoding='utf-8') and fitz/pyMuPDF image saves","open(...); Image.save(...); pix.tobytes(...)",false,"Legacy script; mark as archive or migrate."
"archive/legacy/Document_Scanner_Ollama_outdated/document_processor_gca.py","legacy processing outputs","shutil.copy2(source_pdf_path, original_copy_path); with open(markdown_path, 'w')","shutil.copy2(...); open(markdown_path,'w')",false,"Legacy script; treat as archive or migrate."
"doc_processor/document_detector.py","temporary image/pdf files and removals","os.makedirs(norm_root, exist_ok=True); os.remove(fpath)","os.makedirs(...); os.remove(...); tempfile writes",true,"Ensure temp outputs use tempfile or app_config paths and are cleaned up."
"doc_processor/routes/api.py","API rasterization & serving","pix_method = getattr(page, 'get_pixmap', None) ...; send_file(...)","pix.tobytes(...); send_file(...); temporary image generation",true,"Confirm rasterization uses safe temp locations and served files are from configured processed/original dirs."
"doc_processor/services/rotation_service.py","rotation cache / modified images","open(..., 'wb'); Image.save(...)","Image.save(...); open(..., 'wb'); os.remove(...)",true,"Use app_config-managed cache directories and validate permissions before writing."
"doc_processor/static/pdfjs/*","static pdfjs assets (bundle)","static_dir = ...; Path.write_bytes(data)","Path.write_bytes(...); large static files (pdf.min.js + maps)",false,"Treat pdfjs as an asset bundle; allow PDFJS_DEST override for CI."
"doc_processor/tests/e2e/**","e2e artifacts and logs","os.makedirs(artifacts_dir, exist_ok=True); shutil.copy2(..., artifacts_dir)","os.makedirs(...); shutil.copy2(...)",false,"E2E tests should be annotated and write to CI-configured artifacts dir or /tmp; register playwright mark in pytest.ini if used."
"doc_processor/tests/**","unit/integration test artifacts","Path.write_bytes(...); open(..., 'wb'); os.makedirs(...)","Path.write_bytes(...); open(..., 'wb'); os.makedirs(...)",false,"Tests should use pytest tmp_path or .env.test to avoid writing into repo tree (most tests already do)."
"tools/download_manager/download_manager.py","downloaded file writes","with open(file_path, 'wb') as f: f.write(...) ; os.remove(file_path)","open(..., 'wb'); os.remove(...); os.makedirs(download_dir)",false,"Make download destination configurable; avoid hard-coded directories."
"tools/download_manager/download_manager_gui.py","downloaded file writes (GUI)","with open(file_path, 'wb') as f: ...; os.remove(file_path)","open(..., 'wb'); os.remove(...); os.makedirs(download_dir)",false,"Make download destination configurable for safety."
